,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.6,QSM_B15,False,4:2FTS,0.0,,
1,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.6,QSM_B15,False,6:2FTS,0.0,,
2,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.6,QSM_B15,False,8:2FTS,0.0,,
3,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.6,QSM_B15,False,NETFOSAA,0.0,,
4,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,7.0,QSM_B15,False,NMEFOSA,0.0,,
5,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.6,QSM_B15,False,NMEFOSAA,0.0,,
6,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFBS,0.0,,
7,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFBA,0.0,,
8,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFDS,0.0,,
9,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFDA,0.0,,
10,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFDOA,0.0,,
11,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFHPS,0.0,,
12,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFHPA,0.0,,
13,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,True,PFHXS,5.3,,
14,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFHXA,0.0,,
