,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,4:2FTS,0.0,,
1,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,True,6:2FTS,43.0,,
2,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,8:2FTS,0.0,,
3,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,NETFOSAA,0.0,,
4,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,NMEFOSAA,0.0,,
5,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFBS,0.0,,
6,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,True,PFBA,5.3,,
7,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFDS,0.0,,
8,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFDA,0.0,,
9,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFDOA,0.0,,
10,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFHPS,0.0,,
11,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFHPA,2.6,,
12,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFHXS,4.9,,
13,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFHXA,23.4,,
14,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFNS,0.0,,
15,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFNA,0.0,,
16,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,20,QSM_B15,False,PFOSA,0.0,,
17,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFOS,28.3,,
18,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFOA,5.4,,
19,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFPES,0.0,,
20,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFPEA,46.7,,
21,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFTEDA,0.0,,
22,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFTRDA,0.0,,
23,FA94491-1,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFUNA,0.0,,
24,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,4:2FTS,0.0,,
25,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,True,6:2FTS,43.6,,
26,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,8:2FTS,0.0,,
27,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,NETFOSAA,0.0,,
28,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,False,NMEFOSAA,0.0,,
29,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFBS,0.0,,
30,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,8,QSM_B15,True,PFBA,5.3,,
31,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFDS,0.0,,
32,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFDA,0.0,,
33,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFDOA,0.0,,
34,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFHPS,0.0,,
35,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFHPA,2.7,,
36,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFHXS,5.0,,
37,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,True,PFHXA,22.8,,
38,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFNS,0.0,,
39,FA94491-2,Luke AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,Arizona,,,,4,QSM_B15,False,PFNA,0.0,,
