,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,8.0,QSM_B15,False,4:2FTS,0.0,,
1,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,8.0,QSM_B15,False,6:2FTS,0.0,,
2,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,8.0,QSM_B15,False,8:2FTS,0.0,,
3,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,8.0,QSM_B15,False,NETFOSAA,0.0,,
4,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,8.0,QSM_B15,False,NMEFOSAA,0.0,,
5,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,4.0,QSM_B15,False,PFBS,0.0,,
6,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,8.0,QSM_B15,False,PFBA,0.0,,
7,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,4.0,QSM_B15,False,PFDS,0.0,,
8,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,4.0,QSM_B15,False,PFDA,0.0,,
9,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,4.0,QSM_B15,False,PFDOA,0.0,,
10,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,4.0,QSM_B15,False,PFHPS,0.0,,
11,FA96648-3,Little Rock AFB,DoD,,,2022-06-15,,,,,,ng/L,drinking water,Arkansas,,,,4.0,QSM_B15,False,PFHPA,0.0,,
