,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,HFPO-DA,0.0,0.0,"STORAGE TANK, EP"
1,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFOS,0.0,0.0,"STORAGE TANK, EP"
2,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFUNA,0.0,0.0,"STORAGE TANK, EP"
3,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,MEFOSAA,0.0,0.0,"STORAGE TANK, EP"
4,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,ETFOSAA,0.0,0.0,"STORAGE TANK, EP"
5,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFHXA,0.0,0.0,"STORAGE TANK, EP"
6,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFDOA,0.0,0.0,"STORAGE TANK, EP"
7,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFOA,0.0,0.0,"STORAGE TANK, EP"
8,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFDA,0.0,0.0,"STORAGE TANK, EP"
9,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFHXS,0.0,0.0,"STORAGE TANK, EP"
10,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFBS,0.0,0.0,"STORAGE TANK, EP"
11,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFHPA,0.0,0.0,"STORAGE TANK, EP"
12,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFNA,0.0,0.0,"STORAGE TANK, EP"
13,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFTEA,0.0,0.0,"STORAGE TANK, EP"
14,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,PFTRIA,0.0,0.0,"STORAGE TANK, EP"
15,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,9CL-PF3ONS,0.0,0.0,"STORAGE TANK, EP"
16,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,11CL-PF3OUDS,0.0,0.0,"STORAGE TANK, EP"
17,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,1.8,0.45,,False,ADONA,0.0,0.0,"STORAGE TANK, EP"
18,CO0101015-005,BELLEVIEW CHRISTIAN COLLEGE,CDPHE,64.85694,-147.80278,2020-03-19,CO0101015,,,,,ng/L,drinking water,Colorado,,,,,,False,PFOS+PFOA,0.0,0.0,"STORAGE TANK, EP"
19,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,3.6,1.4,,False,HFPO-DA,0.0,97.1,"WELL 11, RW"
20,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.49,,True,PFOS,17.0,97.1,"WELL 11, RW"
21,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,1.0,,False,PFUNA,0.0,97.1,"WELL 11, RW"
22,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,18.0,2.8,,False,MEFOSAA,0.0,97.1,"WELL 11, RW"
23,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,18.0,1.7,,False,ETFOSAA,0.0,97.1,"WELL 11, RW"
24,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.53,,True,PFHXA,27.0,97.1,"WELL 11, RW"
25,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.5,,False,PFDOA,0.0,97.1,"WELL 11, RW"
26,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.78,,True,PFOA,14.0,97.1,"WELL 11, RW"
27,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.28,,False,PFDA,0.0,97.1,"WELL 11, RW"
28,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.16,,True,PFHXS,14.0,97.1,"WELL 11, RW"
29,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.18,,True,PFBS,14.0,97.1,"WELL 11, RW"
30,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.23,,True,PFHPA,9.1,97.1,"WELL 11, RW"
31,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.25,,True,PFNA,2.0,97.1,"WELL 11, RW"
32,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.26,,False,PFTEA,0.0,97.1,"WELL 11, RW"
33,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,1.2,,False,PFTRIA,0.0,97.1,"WELL 11, RW"
34,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.22,,False,9CL-PF3ONS,0.0,97.1,"WELL 11, RW"
35,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.29,,False,11CL-PF3OUDS,0.0,97.1,"WELL 11, RW"
36,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.8,0.16,,False,ADONA,0.0,97.1,"WELL 11, RW"
37,CO0101025-003,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,,,,True,PFOS+PFOA,31.0,97.1,"WELL 11, RW"
38,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,3.8,1.4,,False,HFPO-DA,0.0,111.9,"WELL 12, RW"
39,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.9,0.52,,True,PFOS,19.0,111.9,"WELL 12, RW"
40,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.9,1.1,,False,PFUNA,0.0,111.9,"WELL 12, RW"
41,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,19.0,3.0,,False,MEFOSAA,0.0,111.9,"WELL 12, RW"
42,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,19.0,1.8,,False,ETFOSAA,0.0,111.9,"WELL 12, RW"
43,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.9,0.56,,True,PFHXA,32.0,111.9,"WELL 12, RW"
44,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.9,0.53,,False,PFDOA,0.0,111.9,"WELL 12, RW"
45,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.9,0.81,,True,PFOA,17.0,111.9,"WELL 12, RW"
46,CO0101025-004,BRIGHTON CITY OF,CDPHE,33.4342755,-86.9472148,2020-04-23,CO0101025,,,,,ng/L,drinking water,Colorado,,,1.9,0.3,,False,PFDA,0.0,111.9,"WELL 12, RW"
