,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,11CL-PF3OUDS,0.0,,
1,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,ADONA,0.0,,
2,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,9CL-PF3ONS,0.0,,
3,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,HFPO-DA,0.0,,
4,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,NETFOSAA,0.0,,
5,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,NMEFOSAA,0.0,,
6,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFBS,0.0,,
7,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFDA,0.0,,
8,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFDOA,0.0,,
9,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFHPA,0.0,,
10,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFHXS,0.0,,
11,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFHXA,0.0,,
12,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFNA,0.0,,
13,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFOS,0.0,,
14,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFOA,0.0,,
15,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFTEDA,0.0,,
16,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFTRDA,0.0,,
17,2201216-10,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.31,QSM_B15,False,PFUNA,0.0,,
18,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,11CL-PF3OUDS,0.0,,
19,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,ADONA,0.0,,
20,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,9CL-PF3ONS,0.0,,
21,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,HFPO-DA,0.0,,
22,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,NETFOSAA,0.0,,
23,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,NMEFOSAA,0.0,,
24,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFBS,0.0,,
25,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFDA,0.0,,
26,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFDOA,0.0,,
27,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFHPA,0.0,,
28,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFHXS,0.0,,
29,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFHXA,0.0,,
30,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFNA,0.0,,
31,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFOS,0.0,,
32,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFOA,0.0,,
33,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFTEDA,0.0,,
34,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFTRDA,0.0,,
35,2201216-08,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.35,QSM_B15,False,PFUNA,0.0,,
36,2201216-09,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.24,QSM_B15,False,11CL-PF3OUDS,0.0,,
37,2201216-09,Dover AFB,DoD,,,2022-01-21,,,,,,ng/L,drinking water,Delaware,,,,4.24,QSM_B15,False,ADONA,0.0,,
