,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.0,QSM_B15,False,4:2FTS,0.0,,
1,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.0,QSM_B15,False,6:2FTS,0.0,,
2,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.0,QSM_B15,False,8:2FTS,0.0,,
3,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.0,QSM_B15,False,NETFOSAA,0.0,,
4,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.0,QSM_B15,False,NMEFOSAA,0.0,,
5,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,True,PFBS,3.0,,
6,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.0,QSM_B15,False,PFBA,0.0,,
7,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFDS,0.0,,
8,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFDA,0.0,,
9,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFDOA,0.0,,
10,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFHPS,0.0,,
11,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,True,PFHPA,3.6,,
12,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFHXS,0.0,,
13,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,True,PFHXA,2.7,,
14,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFNS,0.0,,
15,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFNA,0.0,,
16,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFOSA,0.0,,
17,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,True,PFOS,40.3,,
18,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,True,PFOA,10.7,,
19,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFPES,0.0,,
20,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,True,PFPEA,3.3,,
21,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFTEDA,0.0,,
22,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFTRDA,0.0,,
23,FA91872-2,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.0,QSM_B15,False,PFUNA,0.0,,
24,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.3,QSM_B15,False,4:2FTS,0.0,,
25,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
26,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.3,QSM_B15,False,8:2FTS,0.0,,
27,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
28,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
29,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.2,QSM_B15,False,PFBS,0.0,,
30,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,8.3,QSM_B15,False,PFBA,0.0,,
31,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.2,QSM_B15,False,PFDS,0.0,,
32,FA91872-5,Avon Park Air Force Reserve,DoD,30.05381,-90.55175,2021-12-19,,,,,,ng/L,drinking water,Florida,,,,4.2,QSM_B15,False,PFDA,0.0,,
