,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,8,QSM_B15,False,4:2FTS,0.0,,
1,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,8,QSM_B15,False,6:2FTS,0.0,,
2,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,8,QSM_B15,False,8:2FTS,0.0,,
3,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,8,QSM_B15,False,NETFOSAA,0.0,,
4,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,8,QSM_B15,False,NMEFOSAA,0.0,,
5,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFBS,0.0,,
6,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,8,QSM_B15,False,PFBA,0.0,,
7,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFDS,0.0,,
8,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFDA,0.0,,
9,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFDOA,0.0,,
10,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFHPS,0.0,,
11,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFHPA,0.0,,
12,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,True,PFHXS,2.1,,
13,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFHXA,0.0,,
14,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFNS,0.0,,
15,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFNA,0.0,,
16,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFOSA,0.0,,
17,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,True,PFOS,3.3,,
18,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFOA,0.0,,
19,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFPES,0.0,,
20,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFPEA,0.0,,
21,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFTEDA,0.0,,
22,FA93251-1,Moody AFB,DoD,30.97849,-83.21646,2022-02-15,,,,,,ng/L,drinking water,Georgia,,,,4,QSM_B15,False,PFTRDA,0.0,,
