,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,1.8,QSM_B15,False,HFPO-DA,0.0,,
1,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,True,PFOS,0.65,,
2,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,PFUNA,0.0,,
3,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,NMEFOSAA,0.0,,
4,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,True,PFPEA,0.45,,
5,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,PFPES,0.0,,
6,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,6:2FTS,0.0,,
7,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,NETFOSAA,0.0,,
8,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,True,PFHXA,0.47,,
9,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,PFDOA,0.0,,
10,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,PFOA,0.0,,
11,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,PFDA,0.0,,
12,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,False,PFDS,0.0,,
13,23E0038-01,Waiawa Unit Training Equipment Site (UTES),DoD,,,2023-05-02,,,,,,ng/L,drinking water,Hawaii,,,,0.35,QSM_B15,True,PFHXS,0.51,,
