,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,8.0,QSM_B15,False,4:2FTS,0.0,,
1,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,8.0,QSM_B15,False,6:2FTS,0.0,,
2,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,8.0,QSM_B15,False,8:2FTS,0.0,,
3,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,8.0,QSM_B15,False,NETFOSAA,0.0,,
4,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,8.0,QSM_B15,False,NMEFOSAA,0.0,,
5,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFBS,0.0,,
6,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,8.0,QSM_B15,False,PFBA,0.0,,
7,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFDS,0.0,,
8,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFDA,0.0,,
9,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFDOA,0.0,,
10,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFHPS,0.0,,
11,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFHPA,0.0,,
12,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,True,PFHXS,5.8,,
13,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFHXA,0.0,,
14,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFNS,0.0,,
15,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFNA,0.0,,
16,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFOSA,0.0,,
17,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,True,PFOS,39.8,,
18,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,True,PFOA,6.2,,
19,FA91647-1,Scott AFB,DoD,38.543839,-89.8527741,2021-12-12,,,,,,ng/L,drinking water,Illinois,,,,4.0,QSM_B15,False,PFPES,0.0,,
