,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,4:2FTS,0.0,,
1,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,6:2FTS,0.0,,
2,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,8:2FTS,0.0,,
3,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,NETFOSAA,0.0,,
4,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,NMEFOSAA,0.0,,
5,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFBS,24.7,,
6,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,True,PFBA,7.9,,
7,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFDS,0.0,,
8,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFDA,0.0,,
9,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFDOA,0.0,,
10,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFHPS,0.0,,
11,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFHPA,8.1,,
12,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFHXS,151.0,,
13,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFHXA,45.8,,
14,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFNS,0.0,,
15,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFNA,0.0,,
16,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFOSA,0.0,,
17,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFOS,30.3,,
18,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFOA,28.1,,
19,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFPES,24.0,,
20,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFPEA,12.2,,
21,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFTEDA,0.0,,
22,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFTRDA,0.0,,
23,FA93617-1,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFUNA,0.0,,
24,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,4:2FTS,0.0,,
25,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,6:2FTS,0.0,,
26,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,8:2FTS,0.0,,
27,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,NETFOSAA,0.0,,
28,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,False,NMEFOSAA,0.0,,
29,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFBS,24.6,,
30,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,8.0,QSM_B15,True,PFBA,7.8,,
31,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFDS,0.0,,
32,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFDA,0.0,,
33,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFDOA,0.0,,
34,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFHPS,2.2,,
35,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFHPA,7.7,,
36,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFHXS,149.0,,
37,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFHXA,43.5,,
38,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFNS,0.0,,
39,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFNA,0.0,,
40,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,False,PFOSA,0.0,,
41,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFOS,27.5,,
42,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFOA,26.3,,
43,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFPES,22.9,,
44,FA93617-2,McConnell AFB,DoD,,,2022-03-02,,,,,,ng/L,drinking water,Kansas,,,,4.0,QSM_B15,True,PFPEA,11.6,,
