,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,HFPO-DA,0.0,,
1,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,True,PFOS,4.79,,
2,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,PFUNA,0.0,,
3,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,NMEFOSAA,0.0,,
4,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.59,537.1,False,NETFOSAA,0.0,,
5,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.85,537.1,True,PFHXA,1.09,,
6,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,PFDOA,0.0,,
7,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,True,PFOA,1.56,,
8,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,PFDA,0.0,,
9,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,True,PFHXS,2.06,,
10,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,True,PFBS,2.3,,
11,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,True,PFHPA,0.94,,
12,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,PFNA,0.0,,
13,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,PFTEDA,0.0,,
14,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,PFTRDA,0.0,,
15,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,9CL-PF3ONS,0.0,,
16,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.32,537.1,False,11CL-PF3OUDS,0.0,,
17,F4748-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.06,537.1,False,ADONA,0.0,,
18,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,HFPO-DA,0.0,,
19,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,True,PFOS,2.07,,
20,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFUNA,0.0,,
21,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,NMEFOSAA,0.0,,
22,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.56,537.0,False,NETFOSAA,0.0,,
23,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.82,537.0,True,PFHXA,1.23,,
24,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFDOA,0.0,,
25,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,True,PFOA,1.76,,
26,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFDA,0.0,,
27,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,True,PFHXS,1.17,,
28,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,True,PFBS,2.21,,
29,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,True,PFHPA,1.09,,
30,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFNA,0.0,,
31,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFTEDA,0.0,,
32,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFTRDA,0.0,,
33,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,9CL-PF3ONS,0.0,,
34,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,11CL-PF3OUDS,0.0,,
35,F4750-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.04,537.0,False,ADONA,0.0,,
36,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,HFPO-DA,0.0,,
37,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFOS,0.0,,
38,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFUNA,0.0,,
39,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,NMEFOSAA,0.0,,
40,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.57,537.0,False,NETFOSAA,0.0,,
41,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.83,537.0,False,PFHXA,0.0,,
42,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFDOA,0.0,,
43,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,True,PFOA,0.573,,
44,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFDA,0.0,,
45,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFHXS,0.0,,
46,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFBS,0.0,,
47,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFHPA,0.0,,
48,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFNA,0.0,,
49,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFTEDA,0.0,,
50,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFTRDA,0.0,,
51,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,9CL-PF3ONS,0.0,,
52,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,11CL-PF3OUDS,0.0,,
53,F4751-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.05,537.0,False,ADONA,0.0,,
54,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,HFPO-DA,0.0,,
55,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFOS,0.0,,
56,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFUNA,0.0,,
57,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,NMEFOSAA,0.0,,
58,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.58,537.0,False,NETFOSAA,0.0,,
59,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.84,537.0,False,PFHXA,0.0,,
60,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFDOA,0.0,,
61,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,True,PFOA,1.03,,
62,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFDA,0.0,,
63,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFHXS,0.0,,
64,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFBS,0.0,,
65,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFHPA,0.0,,
66,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFNA,0.0,,
67,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFTEDA,0.0,,
68,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,PFTRDA,0.0,,
69,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,9CL-PF3ONS,0.0,,
70,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.31,537.0,False,11CL-PF3OUDS,0.0,,
71,F4753-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.05,537.0,False,ADONA,0.0,,
72,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,HFPO-DA,0.0,,
73,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFOS,0.0,,
74,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFUNA,0.0,,
75,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,NMEFOSAA,0.0,,
76,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.49,537.0,False,NETFOSAA,0.0,,
77,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.74,537.0,False,PFHXA,0.0,,
78,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFDOA,0.0,,
79,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFOA,0.0,,
80,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFDA,0.0,,
81,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFHXS,0.0,,
82,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFBS,0.0,,
83,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFHPA,0.0,,
84,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFNA,0.0,,
85,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFTEDA,0.0,,
86,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,PFTRDA,0.0,,
87,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,9CL-PF3ONS,0.0,,
88,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,1.25,537.0,False,11CL-PF3OUDS,0.0,,
89,F4746-FS,Brunswick NAS,DoD,,,2021-10-19,,,,,,ng/L,drinking water,Maine,,,,0.996,537.0,False,ADONA,0.0,,
90,F4756-FS,Brunswick NAS,DoD,,,2021-10-20,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,HFPO-DA,0.0,,
91,F4756-FS,Brunswick NAS,DoD,,,2021-10-20,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFOS,0.0,,
92,F4756-FS,Brunswick NAS,DoD,,,2021-10-20,,,,,,ng/L,drinking water,Maine,,,,1.3,537.0,False,PFUNA,0.0,,
