,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,8.0,QSM_B15,False,4:2FTS,0.0,,
1,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,8.0,QSM_B15,False,6:2FTS,0.0,,
2,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,8.0,QSM_B15,False,8:2FTS,0.0,,
3,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,40.0,QSM_B15,False,NETFOSAA,0.0,,
4,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,8.0,QSM_B15,False,NMEFOSAA,0.0,,
5,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFBS,0.0,,
6,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,8.0,QSM_B15,False,PFBA,0.0,,
7,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFDS,0.0,,
8,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFDA,0.0,,
9,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFDOA,0.0,,
10,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFHPS,0.0,,
11,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFHPA,0.0,,
12,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFHXS,0.0,,
13,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFHXA,0.0,,
14,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFNS,0.0,,
15,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFNA,0.0,,
16,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFOSA,0.0,,
17,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFOS,0.0,,
18,FA98605-4,Joint Base Andrews,DoD,,,2022-08-29,,,,,,ng/L,drinking water,Maryland,,,,4.0,QSM_B15,False,PFOA,0.0,,
