,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,HFPO-DA,0.0,,
1,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFOS,0.0,,
2,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFUNA,0.0,,
3,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,NMEFOSAA,0.0,,
4,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFPEA,0.0,,
5,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFPES,0.0,,
6,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,6:2FTS,0.0,,
7,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,NETFOSAA,0.0,,
8,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFHXA,0.0,,
9,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFDOA,0.0,,
10,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFOA,0.0,,
11,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFDA,0.0,,
12,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFDS,0.0,,
13,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFHXS,0.0,,
14,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFBA,0.0,,
15,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFBS,0.0,,
16,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFHPA,0.0,,
17,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFHPS,0.0,,
18,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFNA,0.0,,
19,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFTEDA,0.0,,
20,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,8:2FTS,0.0,,
21,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFNS,0.0,,
22,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFTRDA,0.0,,
23,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,1.9,QSM_B15,False,PFOSA,0.0,,
24,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,4:2FTS,0.0,,
25,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,NETFOSE,0.0,,
26,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,NMEFOSE,0.0,,
27,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,7.5,QSM_B15,False,NMEFOSA,0.0,,
28,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,NETFOSA,0.0,,
29,YE19031-001,Grand Ledge AASF,DoD,,,2023-05-17,,,,,,ng/L,drinking water,Michigan,,,,3.7,QSM_B15,False,9CL-PF3ONS,0.0,,
