,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,K2206690-002,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFBS,0.0,,
1,K2206690-002,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFHPA,0.0,,
2,K2206690-002,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,2.0,537,False,PFHXS,0.0,,
3,K2206690-002,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFNA,0.0,,
4,K2206690-002,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFOS,0.0,,
5,K2206690-002,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFOA,0.0,,
6,K2206690-005,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFBS,0.0,,
7,K2206690-005,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFHPA,0.0,,
8,K2206690-005,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,2.0,537,True,PFHXS,2.97,,
9,K2206690-005,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFNA,0.0,,
10,K2206690-005,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,True,PFOS,2.77,,
11,K2206690-005,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,True,PFOA,1.88,,
12,K2206690-003,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFBS,0.0,,
13,K2206690-003,Great Falls International Airport,DoD,47.4800263,-111.375579,2022-06-14,,,,,,ng/L,drinking water,Montana,,,,4.0,537,False,PFHPA,0.0,,
