,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,True,PFOS,9.1,,
1,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFUNA,0.0,,
2,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
3,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFPEA,0.0,,
4,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFPES,0.0,,
5,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
6,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
7,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHXA,0.0,,
8,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDOA,0.0,,
9,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,True,PFOA,2.4,,
10,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDA,0.0,,
11,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDS,0.0,,
12,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,True,PFHXS,5.6,,
13,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,PFBA,0.0,,
14,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFBS,0.0,,
15,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHPA,0.0,,
16,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHPS,0.0,,
17,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFNA,0.0,,
18,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFTEDA,0.0,,
19,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,8:2FTS,0.0,,
20,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFNS,0.0,,
21,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFTRDA,0.0,,
22,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFOSA,0.0,,
23,FC13348-1,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,4:2FTS,0.0,,
24,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFOS,0.0,,
25,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFUNA,0.0,,
26,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
27,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFPEA,0.0,,
28,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFPES,0.0,,
29,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
30,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
31,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHXA,0.0,,
32,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDOA,0.0,,
33,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,True,PFOA,2.4,,
34,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDA,0.0,,
35,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDS,0.0,,
36,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHXS,0.0,,
37,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,PFBA,0.0,,
38,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,True,PFBS,2.2,,
39,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHPA,0.0,,
40,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHPS,0.0,,
41,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFNA,0.0,,
42,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFTEDA,0.0,,
43,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,8:2FTS,0.0,,
44,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFNS,0.0,,
45,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFTRDA,0.0,,
46,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFOSA,0.0,,
47,FC13348-10,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,4:2FTS,0.0,,
48,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFOS,0.0,,
49,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFUNA,0.0,,
50,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
51,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFPEA,0.0,,
52,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFPES,0.0,,
53,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
54,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
55,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFHXA,0.0,,
56,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDOA,0.0,,
57,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFOA,0.0,,
58,FC13348-11,New Boston Air Force Station,DoD,47.27103,8.8218,2024-02-11,,,,,,ng/L,drinking water,New Hampshire,,,,4.2,QSM_B15,False,PFDA,0.0,,
