,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.7,QSM_B15,True,6:2FTS,8.1,,
1,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.7,QSM_B15,False,8:2FTS,0.0,,
2,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.3,QSM_B15,True,PFBS,18.0,,
3,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.5,QSM_B15,True,PFBA,12.0,,
4,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.3,QSM_B15,False,PFDS,0.0,,
5,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.5,QSM_B15,False,PFDA,0.0,,
6,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.3,QSM_B15,False,PFDOA,0.0,,
7,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.3,QSM_B15,True,PFHPA,14.0,,
8,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,12.0,QSM_B15,True,PFHXS,130.0,,
9,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.5,QSM_B15,True,PFHXA,37.0,,
10,RER870,Joint Base McGuire-Dix-Lakehurst,DoD,39.9983266,-74.5403654,2021-11-08,,,,,,ng/L,drinking water,New Jersey,,,,1.7,QSM_B15,True,PFNA,1.2,,
