,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFBA,,0.0,
1,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFBS,0.0,0.0,
2,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFPEA,,0.0,
3,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFHXA,0.0,0.0,
4,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFHXS,0.0,0.0,
5,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFHPA,0.0,0.0,
6,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFHPS,,0.0,
7,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,6:2 FTS,,0.0,
8,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFOA,0.0,0.0,
9,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFOS,0.0,0.0,
10,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFOSA,,0.0,
11,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFNA,0.0,0.0,
12,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,8:2 FTS,,0.0,
13,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFDA,0.0,0.0,
14,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFDS,,0.0,
15,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,NMEFOSAA,0.0,0.0,
16,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFUNA,0.0,0.0,
17,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,NETFOSAA,0.0,0.0,
18,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFDOA,0.0,0.0,
19,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFTRIA,0.0,0.0,
20,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFTEA,0.0,0.0,
21,,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFOA+PFOS,0.0,0.0,
22,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFBA,,0.0,
23,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFBS,0.0,0.0,
24,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFPEA,,0.0,
25,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFHXA,0.0,0.0,
26,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFHXS,0.0,0.0,
27,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,False,PFHPA,0.0,0.0,
28,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,PFHPS,,0.0,
29,,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",NMED,,,2019-03-05,,,,,,ng/L,DW,New Mexico,Alamogordo Area,,,,537 M,,6:2 FTS,,0.0,
