,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,320-82218-1,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,True,PFBS,21.0,,
1,320-82218-1,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,True,PFHPA,15.0,,
2,320-82218-1,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,True,PFHXS,52.0,,
3,320-82218-1,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,True,PFNA,2.5,,
4,320-82218-1,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,True,PFOS,98.0,,
5,320-82218-1,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,True,PFOA,32.0,,
6,320-82218-2,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFBS,0.0,,
7,320-82218-2,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHPA,0.0,,
8,320-82218-2,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHXS,0.0,,
9,320-82218-2,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFNA,0.0,,
10,320-82218-2,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOS,0.0,,
11,320-82218-2,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOA,0.0,,
12,320-82218-3,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,False,PFBS,0.0,,
13,320-82218-3,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,False,PFHPA,0.0,,
14,320-82218-3,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,False,PFHXS,0.0,,
15,320-82218-3,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,False,PFNA,0.0,,
16,320-82218-3,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,False,PFOS,0.0,,
17,320-82218-3,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.5,537.1,False,PFOA,0.0,,
18,320-82218-4,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFBS,0.0,,
19,320-82218-4,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHPA,0.0,,
20,320-82218-4,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHXS,0.0,,
21,320-82218-4,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFNA,0.0,,
22,320-82218-4,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOS,0.0,,
23,320-82218-4,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOA,0.0,,
24,320-82218-8,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFBS,0.0,,
25,320-82218-8,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHPA,0.0,,
26,320-82218-8,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHXS,0.0,,
27,320-82218-8,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFNA,0.0,,
28,320-82218-8,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOS,0.0,,
29,320-82218-8,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOA,0.0,,
30,320-82218-9,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFBS,0.0,,
31,320-82218-9,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHPA,0.0,,
32,320-82218-9,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHXS,0.0,,
33,320-82218-9,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFNA,0.0,,
34,320-82218-9,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOS,0.0,,
35,320-82218-9,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOA,0.0,,
36,320-82218-10,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFBS,0.0,,
37,320-82218-10,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHPA,0.0,,
38,320-82218-10,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFHXS,0.0,,
39,320-82218-10,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFNA,0.0,,
40,320-82218-10,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOS,0.0,,
41,320-82218-10,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFOA,0.0,,
42,320-82218-6,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFBS,0.0,,
43,320-82218-6,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFHPA,6.8,,
44,320-82218-6,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFHXS,55.0,,
45,320-82218-6,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFNA,1.4,,
46,320-82218-6,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFOS,110.0,,
47,320-82218-6,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFOA,20.0,,
48,320-82218-7,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,False,PFBS,0.0,,
49,320-82218-7,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFHPA,6.3,,
50,320-82218-7,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFHXS,57.0,,
51,320-82218-7,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFNA,1.4,,
52,320-82218-7,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFOS,110.0,,
53,320-82218-7,Plattsburgh AFB,DoD,,,2021-11-17,,,,,,ng/L,drinking water,New York,,,,1.4,537.1,True,PFOA,19.0,,
54,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,False,11CL-PF3OUDS,0.0,,
55,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,False,ADONA,0.0,,
56,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,False,9CL-PF3ONS,0.0,,
57,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,7.5,QSM_B15,False,HFPO-DA,0.0,,
58,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,2.0,QSM_B15,False,NETFOSAA,0.0,,
59,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,2.0,QSM_B15,False,NMEFOSAA,0.0,,
60,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,True,PFBS,3.37,,
61,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.75,QSM_B15,True,PFBA,1.0,,
62,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.5,QSM_B15,False,PFDA,0.0,,
63,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.5,QSM_B15,False,PFDOA,0.0,,
64,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.5,QSM_B15,True,PFHPA,1.31,,
65,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.5,QSM_B15,False,PFHXS,0.0,,
66,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,True,PFHXA,1.29,,
67,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,True,PFNA,0.734,,
68,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,True,PFOS,57.5,,
69,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,True,PFOA,7.32,,
70,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,True,PFPEA,1.26,,
71,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.5,QSM_B15,False,PFTEDA,0.0,,
72,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.5,QSM_B15,False,PFTRDA,0.0,,
73,22112020301,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.5,QSM_B15,False,PFUNA,0.0,,
74,22112020302,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,False,11CL-PF3OUDS,0.0,,
75,22112020302,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,False,ADONA,0.0,,
76,22112020302,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,False,9CL-PF3ONS,0.0,,
77,22112020302,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,7.5,QSM_B15,False,HFPO-DA,0.0,,
78,22112020302,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,2.0,QSM_B15,False,NETFOSAA,0.0,,
79,22112020302,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,2.0,QSM_B15,False,NMEFOSAA,0.0,,
80,22112020302,Plattsburgh AFB,DoD,,,2021-11-28,,,,,,ng/L,drinking water,New York,,,,1.0,QSM_B15,False,PFBS,0.0,,
