,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,HFPO-DA,0.0,,
1,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFOS,0.0,,
2,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFUNA,0.0,,
3,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,NMEFOSAA,0.0,,
4,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.35,537.1,False,NETFOSAA,0.0,,
5,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.57,537.1,False,PFHXA,0.0,,
6,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFDOA,0.0,,
7,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFOA,0.0,,
8,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFDA,0.0,,
9,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFHXS,0.0,,
10,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFBS,0.0,,
11,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFHPA,0.0,,
12,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFNA,0.0,,
13,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFTEDA,0.0,,
14,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,PFTRDA,0.0,,
15,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,9CL-PF3ONS,0.0,,
16,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,1.12,537.1,False,11CL-PF3OUDS,0.0,,
17,F2698-FS,CAMP LEJEUNE NC MCB,DoD,,,2021-09-08,,,,,,ng/L,drinking water,North Carolina,,,,0.899,537.1,False,ADONA,0.0,,
18,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFEESA,0.0,,
19,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,HFPO-DA,0.0,,
20,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,NFDHA,0.0,,
21,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFOS,0.0,,
22,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFUNA,0.0,,
23,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.43,537.1,False,NMEFOSAA,0.0,,
24,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFPEA,0.0,,
25,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFPES,0.0,,
26,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,6:2FTS,0.0,,
27,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.43,537.1,False,NETFOSAA,0.0,,
28,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFHXA,0.0,,
29,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFDOA,0.0,,
30,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFOA,0.0,,
31,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFDA,0.0,,
32,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFHXS,0.0,,
33,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFBA,0.0,,
34,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFBS,0.0,,
35,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFHPA,0.0,,
36,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFHPS,0.0,,
37,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.49,533.0,False,PFNA,0.0,,
38,2306233-01,CHERRY POINT NC MCAS,DoD,,,2023-06-27,,,,,,ng/L,drinking water,North Carolina,,,,1.43,537.1,False,PFTEDA,0.0,,
