,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.78,EPA 537.1,False,NETFOSAA,0.0,,
1,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.716,EPA 537.1,False,NMEFOSAA,0.0,,
2,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.469,EPA 537.1,False,PFBS,0.0,,
3,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.459,EPA 537.1,False,PFDA,0.0,,
4,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.5,EPA 537.1,False,PFDOA,0.0,,
5,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.589,EPA 537.1,False,PFHPA,0.0,,
6,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.625,EPA 537.1,False,PFHXA,0.0,,
7,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.511,EPA 537.1,False,PFHXS,0.0,,
8,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.425,EPA 537.1,False,PFNA,0.0,,
9,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.5,EPA 537.1,False,PFOA,0.0,,
10,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.489,EPA 537.1,False,PFOS,0.0,,
11,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.309,EPA 537.1,False,PFTREA,0.0,,
12,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.398,EPA 537.1,False,PFTRIA,0.0,,
13,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.35,EPA 537.1,False,PFUNA,0.0,,
14,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.438,EPA 537.1,False,NADONA,0.0,,
15,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.422,EPA 537.1,False,9CL-PF3ONS,0.0,,
16,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,0.484,EPA 537.1,False,11CL-PF3OUDS,0.0,,
17,32001921001-A,Garrison-DW,DEQ,,,2020-10-12 10:00:00,,,,,,ng/L,drinking water,North Dakota,,,,1.42,EPA 537.1,False,HFPO-DA (GENX),0.0,,
18,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.78,EPA 537.1,False,NETFOSAA,0.0,,
19,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.716,EPA 537.1,False,NMEFOSAA,0.0,,
20,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.469,EPA 537.1,False,PFBS,0.0,,
21,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.459,EPA 537.1,False,PFDA,0.0,,
22,32001921002-A,Towner-DW,DEQ,,,2020-10-12 11:50:00,,,,,,ng/L,drinking water,North Dakota,,,,0.5,EPA 537.1,False,PFDOA,0.0,,
