,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2005-09-20,,,,,,ng/L,drinking water,Ohio,,,,,,True,PFOA,100.0,,Raw Water
1,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2005-09-20,,,,,,ng/L,drinking water,Ohio,,,,,,,PFOS,,,Raw Water
2,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2005-09-20,,,,,,ng/L,drinking water,Ohio,,,,,,,PFHXS,,,Raw Water
3,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2005-09-20,,,,,,ng/L,drinking water,Ohio,,,,,,,HFPO-DA,,,Raw Water
4,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2005-09-20,,,,,,ng/L,drinking water,Ohio,,,,,,,PFNA,,,Raw Water
5,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2005-09-20,,,,,,ng/L,drinking water,Ohio,,,,,,,PFBS,,,Raw Water
6,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2006-04-17,,,,,,ng/L,drinking water,Ohio,,,,,,True,PFOA,20.9,,Raw Water
7,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2006-04-17,,,,,,ng/L,drinking water,Ohio,,,,,,,PFOS,,,Raw Water
8,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2006-04-17,,,,,,ng/L,drinking water,Ohio,,,,,,,PFHXS,,,Raw Water
9,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2006-04-17,,,,,,ng/L,drinking water,Ohio,,,,,,,HFPO-DA,,,Raw Water
10,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2006-04-17,,,,,,ng/L,drinking water,Ohio,,,,,,,PFNA,,,Raw Water
11,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2006-04-17,,,,,,ng/L,drinking water,Ohio,,,,,,,PFBS,,,Raw Water
12,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2007-05-08,,,,,,ng/L,drinking water,Ohio,,,,,,True,PFOA,16.1,,Raw Water
13,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2007-05-08,,,,,,ng/L,drinking water,Ohio,,,,,,False,PFOS,0.0,,Raw Water
14,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2007-05-08,,,,,,ng/L,drinking water,Ohio,,,,,,,PFHXS,,,Raw Water
15,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2007-05-08,,,,,,ng/L,drinking water,Ohio,,,,,,,HFPO-DA,,,Raw Water
16,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2007-05-08,,,,,,ng/L,drinking water,Ohio,,,,,,,PFNA,,,Raw Water
17,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2007-05-08,,,,,,ng/L,drinking water,Ohio,,,,,,,PFBS,,,Raw Water
18,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2008-04-09,,,,,,ng/L,drinking water,Ohio,,,,,,True,PFOA,14.9,,Raw Water
19,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2008-04-09,,,,,,ng/L,drinking water,Ohio,,,,,,,PFOS,,,Raw Water
20,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2008-04-09,,,,,,ng/L,drinking water,Ohio,,,,,,,PFHXS,,,Raw Water
21,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2008-04-09,,,,,,ng/L,drinking water,Ohio,,,,,,,HFPO-DA,,,Raw Water
22,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2008-04-09,,,,,,ng/L,drinking water,Ohio,,,,,,,PFNA,,,Raw Water
23,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2008-04-09,,,,,,ng/L,drinking water,Ohio,,,,,,,PFBS,,,Raw Water
24,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2009-04-07,,,,,,ng/L,drinking water,Ohio,,,,,,True,PFOA,11.4,,Raw Water
25,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2009-04-07,,,,,,ng/L,drinking water,Ohio,,,,,,False,PFOS,0.0,,Raw Water
26,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2009-04-07,,,,,,ng/L,drinking water,Ohio,,,,,,,PFHXS,,,Raw Water
27,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2009-04-07,,,,,,ng/L,drinking water,Ohio,,,,,,,HFPO-DA,,,Raw Water
28,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2009-04-07,,,,,,ng/L,drinking water,Ohio,,,,,,,PFNA,,,Raw Water
29,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2009-04-07,,,,,,ng/L,drinking water,Ohio,,,,,,,PFBS,,,Raw Water
30,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2010-05-12,,,,,,ng/L,drinking water,Ohio,,,,,,True,PFOA,14.1,,Raw Water
31,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2010-05-12,,,,,,ng/L,drinking water,Ohio,,,,,,False,PFOS,0.0,,Raw Water
32,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2010-05-12,,,,,,ng/L,drinking water,Ohio,,,,,,,PFHXS,,,Raw Water
33,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2010-05-12,,,,,,ng/L,drinking water,Ohio,,,,,,,HFPO-DA,,,Raw Water
34,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2010-05-12,,,,,,ng/L,drinking water,Ohio,,,,,,,PFNA,,,Raw Water
35,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2010-05-12,,,,,,ng/L,drinking water,Ohio,,,,,,,PFBS,,,Raw Water
36,,Richard Miller,PFAS Testing of Ohio Public Water Systems,,,2010-09-12,,,,,,ng/L,drinking water,Ohio,,,,,,True,PFOA,26.4,,Raw Water
