,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,4:2FTS,0.0,,
1,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
2,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,8:2FTS,0.0,,
3,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
4,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
5,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,True,PFBA,17.0,,
6,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFBS,19.6,,
7,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFDA,0.0,,
8,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFDOA,0.0,,
9,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFDS,0.0,,
10,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFHPA,2.6,,
11,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFHPS,0.0,,
12,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFHXA,17.0,,
13,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFHXS,214.0,,
14,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFNA,0.0,,
15,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFNS,0.0,,
16,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFOA,6.8,,
17,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFOS,11.8,,
18,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFOSA,0.0,,
19,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFPEA,14.2,,
20,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFPES,14.5,,
21,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFTEDA,0.0,,
22,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFTRDA,0.0,,
23,FA92616-1,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFUNA,0.0,,
24,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,4:2FTS,0.0,,
25,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
26,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,8:2FTS,0.0,,
27,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
28,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
29,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,8.3,QSM_B15,True,PFBA,17.7,,
30,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFBS,23.3,,
31,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFDA,0.0,,
32,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFDOA,0.0,,
33,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFDS,0.0,,
34,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFHPA,3.3,,
35,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFHPS,3.9,,
36,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFHXA,18.2,,
37,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,True,PFHXS,267.0,,
38,FA92616-3,Tinker AFB,DoD,,,2022-01-24,,,,,,ng/L,drinking water,Oklahoma,,,,4.2,QSM_B15,False,PFNA,0.0,,
