"Regulating Agency","County Served","PWS","PWS Name","Facility ID","Facility Name","Sample Date","Received Date","Analyte Abbreviation","Analyte Name","Result (ng/L)","MRL (ng/L)","Sample ID"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","10.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","20.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFBA","Perfluorobutanoic acid","ND","20.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","10.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFDA","Perfluorodecanoic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFDoA","Perfluorododecanoic acid","ND","10.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFHpA","Perfluoroheptanoic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFHxA","Perfluorohexanoic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFHxS","Perfluorohexanesulfonic acid","ND","10.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","20.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFNA","Perfluorononanoic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFOA","Perfluorooctanoic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFOS","Perfluorooctanesulfonic acid","4.74","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFPeA","Perfluoropentanoic acid","ND","20.1","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.02","2307095-01"
"REGION 1","Harney","00153","BURNS WATER DEPARTMENT","EP-C","EP for WELL #4","07/12/2023","08/09/2023","PFUnA","Perfluoroundecanoic acid","ND","4.02","2307095-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.4","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","10.4","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","20.8","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFBA","Perfluorobutanoic acid","ND","20.8","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFBS","Perfluorobutanesulfonic acid","ND","10.4","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFDA","Perfluorodecanoic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFDoA","Perfluorododecanoic acid","ND","10.4","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFHpA","Perfluoroheptanoic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFHxA","Perfluorohexanoic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFHxS","Perfluorohexanesulfonic acid","ND","10.4","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.8","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","20.8","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFNA","Perfluorononanoic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFOA","Perfluorooctanoic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFOS","Perfluorooctanesulfonic acid","12.4","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFPeA","Perfluoropentanoic acid","ND","20.8","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFPeS","Perfluoropentanesulfonic acid","ND","4.16","2306019-01"
"LANE COUNTY","Lane","01003","TIVOLI MOBILE HOME PARK","EP-B","EP FOR WELL #2","06/01/2023","07/18/2023","PFUnA","Perfluoroundecanoic acid","ND","4.16","2306019-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","9.77","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","9.77","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","NFDHA","Nonafluoro-3,6-dioxaheptanoic acid","ND","19.5","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFBA","Perfluorobutanoic acid","ND","19.5","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFBS","Perfluorobutanesulfonic acid","ND","9.77","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFDA","Perfluorodecanoic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFDoA","Perfluorododecanoic acid","ND","9.77","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFHpA","Perfluoroheptanoic acid","ND","3.91","2305123-01"
"KLAMATH COUNTY","Klamath","00450","LAKESIDE MOBILE HOME & RV PARK","EP-A","EP for WELL #1","05/10/2023","06/09/2023","PFHpS","Perfluoroheptanesulfonic acid","ND","3.91","2305123-01"
