,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,11CL-PF3OUDS,0.0,,
1,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,4:2FTS,0.0,,
2,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,6:2FTS,0.0,,
3,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,8:2FTS,0.0,,
4,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,9CL-PF3ONS,0.0,,
5,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,10.1,,,False,ADONA,0.0,,
6,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,10.1,,,False,HFPO-DA,0.0,,
7,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,20.1,,,False,NFDHA,0.0,,
8,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,20.1,,,False,PFBA,0.0,,
9,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,10.1,,,False,PFBS,0.0,,
10,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,PFDA,0.0,,
11,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,10.1,,,False,PFDOA,0.0,,
12,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,PFEESA,0.0,,
13,2307095-01,,OHA,,,2023-07-12,153,BURNS WATER DEPARTMENT,,,,ng/L,drinking water,Oregon,,Harney,4.02,,,False,PFHPA,0.0,,
