,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,11CL-PF3OUDS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
1,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,9CL-PF3ONS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
2,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,ADONA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
3,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,HFPO-DA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
4,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,NETFOSAA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
5,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,NMEFOSAA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
6,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFDA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
7,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFDOA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
8,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFTA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
9,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFTRDA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
10,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFHXA,2.4,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
11,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFUNA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
12,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFBS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
13,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFHPA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
14,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFHXS,140.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
15,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFNA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
16,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFOS,11.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
17,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFOA,2.6,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
18,,,DEP,,,2020-11-12,7010007,Paramount Senior Living (Village of Laurel Run),,BW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFOS+PFOA,13.6,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
19,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,11CL-PF3OUDS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
20,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,9CL-PF3ONS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
21,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,ADONA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
22,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,HFPO-DA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
23,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,NETFOSAA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
24,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,NMEFOSAA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
25,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFDA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
26,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFDOA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
27,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFTA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
28,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFTRDA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
29,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFHXA,4.4,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
30,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFUNA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
31,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFBS,2.2,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
32,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFHPA,2.9,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
33,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFHXS,2.6,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
34,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFNA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
35,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFOS,17.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
36,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFOA,7.4,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
37,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,True,PFOS+PFOA,24.4,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
38,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,11CL-PF3OUDS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
39,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,9CL-PF3ONS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
40,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,ADONA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
41,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,HFPO-DA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
42,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,NETFOSAA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
43,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,NMEFOSAA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
44,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFDA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
45,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFDOA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
46,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFTA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
47,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFTRDA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
48,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFHXA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
49,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFUNA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
50,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFBS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
51,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFHPA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
52,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFHXS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
53,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFNA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
54,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFOS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
55,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFOA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
56,,,DEP,,,2020-11-12,7010019,Gettysburg Municipal Auth,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,PFOS+PFOA,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
57,,,DEP,,,2020-10-07,7010022,Littlestown Boro,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,11CL-PF3OUDS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
58,,,DEP,,,2020-10-07,7010022,Littlestown Boro,,TW,,ng/L,drinking water,Pennsylvania,,Adams,,,EPA Method 537.1,False,9CL-PF3ONS,0.0,,TW/TI = Target Well (GW)/Target Intake (SW); BW/BI = Baseline Well (GW)/Baseline Intake (SW)
