,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,4:2FTS,0.0,,
1,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
2,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,8:2FTS,0.0,,
3,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
4,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
5,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFBS,0.0,,
6,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,True,PFBA,12.5,,
7,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFDS,0.0,,
8,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFDA,0.0,,
9,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFDOA,0.0,,
10,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFHPS,0.0,,
11,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFHPA,15.3,,
12,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFHXS,0.0,,
13,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFHXA,26.8,,
14,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFNS,0.0,,
15,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFNA,0.0,,
16,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFOSA,0.0,,
17,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFOS,13.9,,
18,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFOA,39.2,,
19,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFPES,0.0,,
20,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFPEA,27.7,,
21,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFTEDA,0.0,,
22,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFTRDA,0.0,,
23,FA91726-1,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFUNA,0.0,,
24,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,4:2FTS,0.0,,
25,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,6:2FTS,0.0,,
26,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,8:2FTS,0.0,,
27,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,NETFOSAA,0.0,,
28,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,False,NMEFOSAA,0.0,,
29,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFBS,0.0,,
30,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,8.3,QSM_B15,True,PFBA,13.0,,
31,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFDS,0.0,,
32,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFDA,0.0,,
33,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFDOA,0.0,,
34,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFHPS,0.0,,
35,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFHPA,16.5,,
36,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFHXS,0.0,,
37,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFHXA,29.2,,
38,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFNS,0.0,,
39,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFNA,0.0,,
40,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFOSA,0.0,,
41,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFOS,14.3,,
42,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFOA,40.9,,
43,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFPES,0.0,,
44,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,True,PFPEA,30.1,,
45,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFTEDA,0.0,,
46,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFTRDA,0.0,,
47,FA91726-2,Arnold AFB,DoD,,,2021-12-13,,,,,,ng/L,drinking water,Tennessee,,,,4.2,QSM_B15,False,PFUNA,0.0,,
48,FA96759-1,Arnold AFB,DoD,,,2022-06-21,,,,,,ng/L,drinking water,Tennessee,,,,8.0,QSM_B15,False,4:2FTS,0.0,,
49,FA96759-1,Arnold AFB,DoD,,,2022-06-21,,,,,,ng/L,drinking water,Tennessee,,,,8.0,QSM_B15,False,6:2FTS,0.0,,
50,FA96759-1,Arnold AFB,DoD,,,2022-06-21,,,,,,ng/L,drinking water,Tennessee,,,,8.0,QSM_B15,False,8:2FTS,0.0,,
