,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.709711,USEPA Method 533 DW,False,PFBA,0.0,,
1,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.309849,USEPA Method 533 DW,False,PFPEA,0.0,,
2,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.791934,USEPA Method 533 DW,False,PFHXA,0.0,,
3,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.576424,USEPA Method 533 DW,False,PFHPA,0.0,,
4,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.69067,USEPA Method 533 DW,False,PFOA,0.0,,
5,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.917431,USEPA Method 533 DW,False,PFNA,0.0,,
6,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.723559,USEPA Method 533 DW,False,PFDA,0.0,,
7,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.636143,USEPA Method 533 DW,False,PFDOA,0.0,,
8,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.533149,USEPA Method 533 DW,False,PFBS,0.0,,
9,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,1.26363,USEPA Method 533 DW,False,PFPES,0.0,,
10,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.649991,USEPA Method 533 DW,False,PFHXS,0.0,,
11,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,1.01264,USEPA Method 533 DW,False,PFHPS,0.0,,
12,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,1.05591,USEPA Method 533 DW,False,PFOS,0.0,,
13,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,1.02129,USEPA Method 533 DW,False,4:2FTS,0.0,,
14,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.57902,USEPA Method 533 DW,True,6:2FTS,0.0646755,,
15,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.740003,USEPA Method 533 DW,False,8:2FTS,0.0,,
16,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,1.06457,USEPA Method 533 DW,False,HFPO-DA,0.0,,
17,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.60412,USEPA Method 533 DW,False,ADONA,0.0,,
18,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.799723,USEPA Method 533 DW,False,9Cl-PF3ONS,0.0,,
19,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.655184,USEPA Method 533 DW,False,11Cl-PF3OUDS,0.0,,
20,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.835209,USEPA Method 533 DW,False,NFDHA,0.0,,
21,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.835209,USEPA Method 533 DW,False,PFEESA,0.0,,
22,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.685477,USEPA Method 533 DW,False,PFMBA,0.0,,
23,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,0.699325,USEPA Method 533 DW,False,PFMPA,0.0,,
24,,7082 Woodside Street,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-13 00:00:00,,,,III-B,,ng/L,drinking water,Virginia,,Henrico,,,USEPA Method 533 DW,False,PFUNA,0.0,,
25,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.710276,USEPA Method 533 DW,True,PFBA,0.964063,,
26,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.310096,USEPA Method 533 DW,True,PFPEA,0.941525,,
27,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.792565,USEPA Method 533 DW,True,PFHXA,0.855939,,
28,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.576883,USEPA Method 533 DW,True,PFHPA,0.184424,,
29,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.69122,USEPA Method 533 DW,True,PFOA,1.50041,,
30,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.918162,USEPA Method 533 DW,False,PFNA,0.0,,
31,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.724136,USEPA Method 533 DW,False,PFDA,0.0,,
32,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.63665,USEPA Method 533 DW,False,PFDOA,0.0,,
33,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.533574,USEPA Method 533 DW,True,PFBS,1.99169,,
34,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.26464,USEPA Method 533 DW,True,PFPES,0.0708709,,
35,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.650509,USEPA Method 533 DW,False,PFHXS,0.0,,
36,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.01344,USEPA Method 533 DW,False,PFHPS,0.0,,
37,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.05675,USEPA Method 533 DW,True,PFOS,0.554397,,
38,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.02211,USEPA Method 533 DW,True,4:2FTS,0.0422536,,
39,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.579482,USEPA Method 533 DW,True,6:2FTS,0.0890384,,
40,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.740593,USEPA Method 533 DW,False,8:2FTS,0.0,,
41,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.06541,USEPA Method 533 DW,False,HFPO-DA,0.0,,
42,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.604601,USEPA Method 533 DW,True,ADONA,0.0137328,,
43,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.80036,USEPA Method 533 DW,True,9Cl-PF3ONS,0.00935522,,
44,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.655706,USEPA Method 533 DW,False,11Cl-PF3OUDS,0.0,,
45,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.835874,USEPA Method 533 DW,False,NFDHA,0.0,,
46,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.835874,USEPA Method 533 DW,False,PFEESA,0.0,,
47,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.686023,USEPA Method 533 DW,False,PFMBA,0.0,,
48,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.699882,USEPA Method 533 DW,False,PFMPA,0.0,,
49,,5124 Hurop Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-07 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,,USEPA Method 533 DW,False,PFUNA,0.0,,
50,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.710449,USEPA Method 533 DW,True,PFBA,4.31511,,
51,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.310172,USEPA Method 533 DW,True,PFPEA,8.04058,,
52,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.792757,USEPA Method 533 DW,True,PFHXA,6.11177,,
53,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.577023,USEPA Method 533 DW,True,PFHPA,3.09427,,
54,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.691388,USEPA Method 533 DW,True,PFOA,12.7965,,
55,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.918385,USEPA Method 533 DW,True,PFNA,0.527774,,
56,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.724311,USEPA Method 533 DW,False,PFDA,0.0,,
57,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.636805,USEPA Method 533 DW,False,PFDOA,0.0,,
58,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.533703,USEPA Method 533 DW,True,PFBS,4.34589,,
59,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.26495,USEPA Method 533 DW,True,PFPES,0.673562,,
60,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.650667,USEPA Method 533 DW,True,PFHXS,3.26653,,
61,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.01369,USEPA Method 533 DW,True,PFHPS,0.199769,,
62,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.05701,USEPA Method 533 DW,True,PFOS,7.74935,,
63,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,1.02235,USEPA Method 533 DW,False,4:2FTS,0.0,,
64,,5401 Cranemore Road,VIRGINIA DEPARTMENT OF HEALTH,,,2021-12-20 00:00:00,,,,III-C,,ng/L,drinking water,Virginia,,Henrico,,0.579622,USEPA Method 533 DW,True,6:2FTS,0.173578,,
