,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,11CL-PF3OUDS,0.0,,
1,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,ADONA,0.0,,
2,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,12.0,537.1,False,HFPO-DA,0.0,,
3,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,19.2,537.1,False,NETFOSAA,0.0,,
4,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,19.2,537.1,False,NMEFOSAA,0.0,,
5,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.73,537.1,False,PFBS,0.0,,
6,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,PFDA,0.0,,
7,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,PFDOA,0.0,,
8,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,True,PFHPA,1.03,,
9,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.73,537.1,True,PFHXS,1.01,,
10,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,True,PFHXA,1.6,,
11,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,PFNA,0.0,,
12,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,PFOS,0.0,,
13,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,True,PFOA,60.2,,
14,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,PFTEDA,0.0,,
15,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,PFTRDA,0.0,,
16,M2E1227-01,NAVAL AUX LANDING FIELD,DoD,,,2022-05-18,,,,,,ng/L,drinking water,Rhode Island,,,,1.92,537.1,False,PFUNA,0.0,,
