,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFBS,0.0,,
1,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFHXA,0.0,,
2,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFHXS,0.0,,
3,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFHPA,0.0,,
4,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFNA,0.0,,
5,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFDA,0.0,,
6,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,N-ETFOSAA,0.0,,
7,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFUNA,0.0,,
8,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,N-MEFOSAA,0.0,,
9,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFDOA,0.0,,
10,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFTRDA,0.0,,
11,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFTA,0.0,,
12,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,HFPO-DA,0.0,,
13,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,F53B MAJOR,0.0,,
14,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,F53B MINOR,0.0,,
15,,,DHEC,,,2022-12-07,SC0150013,COLONY EAST II (SC0150013),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,ADONA,0.0,,
16,,,DHEC,,,2021-06-10,SC0210007,NEW ELLENTON-CPW (0210007),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFBS,0.0,,
17,,,DHEC,,,2021-06-10,SC0210007,NEW ELLENTON-CPW (0210007),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFHXA,0.0,,
18,,,DHEC,,,2021-06-10,SC0210007,NEW ELLENTON-CPW (0210007),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFHXS,0.0,,
19,,,DHEC,,,2021-06-10,SC0210007,NEW ELLENTON-CPW (0210007),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFHPA,0.0,,
20,,,DHEC,,,2021-06-10,SC0210007,NEW ELLENTON-CPW (0210007),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFNA,0.0,,
21,,,DHEC,,,2021-06-10,SC0210007,NEW ELLENTON-CPW (0210007),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,PFDA,0.0,,
22,,,DHEC,,,2021-06-10,SC0210007,NEW ELLENTON-CPW (0210007),,,,ng/L,drinking water,South Carolina,,,,,EPA Method 537.1,False,N-ETFOSAA,0.0,,
