,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.31,537,False,6:2FTS,0.0,,
1,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.31,537,False,8:2FTS,0.0,,
2,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFBS,0.0,,
3,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,True,PFBA,85.3,,
4,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFDS,0.0,,
5,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.36,537,False,PFDA,0.0,,
6,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFDOA,0.0,,
7,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,True,PFHPA,36.4,,
8,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFHXS,0.0,,
9,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,6.99,537,True,PFHXA,176.0,,
10,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFNA,0.0,,
11,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFOSA,0.0,,
12,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,False,PFOS,0.0,,
13,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,True,PFOA,39.7,,
14,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,5.77,537,True,PFPEA,185.0,,
15,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,False,PFTEDA,0.0,,
16,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFTRDA,0.0,,
17,573149004,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFUNA,0.0,,
18,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.48,537,False,6:2FTS,0.0,,
19,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.48,537,False,8:2FTS,0.0,,
20,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,True,PFBS,135.0,,
21,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.5,537,True,PFBA,80.3,,
22,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,False,PFDS,0.0,,
23,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.47,537,False,PFDA,0.0,,
24,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,False,PFDOA,0.0,,
25,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,True,PFHPA,65.4,,
26,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,31.0,537,True,PFHXS,1040.0,,
27,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,7.52,537,True,PFHXA,218.0,,
28,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,True,PFNA,2.04,,
29,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,False,PFOSA,0.0,,
30,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,7.52,537,True,PFOS,342.0,,
31,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.5,537,True,PFOA,188.0,,
32,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,6.2,537,True,PFPEA,197.0,,
33,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.5,537,False,PFTEDA,0.0,,
34,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,False,PFTRDA,0.0,,
35,573149001,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.24,537,False,PFUNA,0.0,,
36,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.31,537,False,6:2FTS,0.0,,
37,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.31,537,False,8:2FTS,0.0,,
38,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFBS,0.0,,
39,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,True,PFBA,85.9,,
40,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFDS,0.0,,
41,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.36,537,False,PFDA,0.0,,
42,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFDOA,0.0,,
43,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,True,PFHPA,40.9,,
44,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,True,PFHXS,0.601,,
45,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,7.0,537,True,PFHXA,204.0,,
46,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFNA,0.0,,
47,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFOSA,0.0,,
48,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,False,PFOS,0.0,,
49,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,True,PFOA,43.7,,
50,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,5.77,537,True,PFPEA,202.0,,
51,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.4,537,False,PFTEDA,0.0,,
52,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFTRDA,0.0,,
53,573149002,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFUNA,0.0,,
54,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.3,537,False,6:2FTS,0.0,,
55,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,2.3,537,False,8:2FTS,0.0,,
56,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFBS,0.0,,
57,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.39,537,True,PFBA,88.2,,
58,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFDS,0.0,,
59,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.36,537,False,PFDA,0.0,,
60,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFDOA,0.0,,
61,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,True,PFHPA,3.93,,
62,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFHXS,0.0,,
63,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,6.97,537,True,PFHXA,103.0,,
64,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFNA,0.0,,
65,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFOSA,0.0,,
66,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.39,537,False,PFOS,0.0,,
67,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.39,537,False,PFOA,0.0,,
68,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,5.75,537,True,PFPEA,172.0,,
69,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.39,537,False,PFTEDA,0.0,,
70,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFTRDA,0.0,,
71,573149003,Ellsworth AFB,DoD,,,2022-03-13,,,,,,ng/L,drinking water,South Dakota,,,,1.15,537,False,PFUNA,0.0,,
72,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,2.55,537.1,False,6:2FTS,0.0,,
73,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,2.55,537.1,False,8:2FTS,0.0,,
74,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,True,PFBS,22.0,,
75,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.54,537.1,True,PFBA,6.62,,
76,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,False,PFDS,0.0,,
77,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.5,537.1,False,PFDA,0.0,,
78,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,False,PFDOA,0.0,,
79,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,True,PFHPA,3.9,,
80,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,True,PFHXS,104.0,,
81,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.54,537.1,True,PFHXA,11.3,,
82,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,False,PFNA,0.0,,
83,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,False,PFOSA,0.0,,
84,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.54,537.1,True,PFOS,28.7,,
85,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.54,537.1,True,PFOA,20.5,,
86,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.27,537.1,True,PFPEA,8.99,,
87,575126001,Ellsworth AFB,DoD,,,2022-03-30,,,,,,ng/L,drinking water,South Dakota,,,,1.54,537.1,False,PFTEDA,0.0,,
