,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
10,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFHPS,0.0,,
11,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFHPA,0.0,,
12,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,True,PFHXS,5.3,,
13,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFHXA,0.0,,
14,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFNS,0.0,,
15,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFNA,0.0,,
16,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,FOSA,0.0,,
17,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,True,PFOS,3.6,,
18,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,True,PFOA,1.6,,
19,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFPES,0.0,,
20,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFPEA,0.0,,
21,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFTEDA,0.0,,
22,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFTRDA,0.0,,
23,XJ04025-001,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFUNA,0.0,,
24,XJ04025-002,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.5,QSM_B15,False,4:2FTS,0.0,,
25,XJ04025-002,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.5,QSM_B15,False,6:2FTS,0.0,,
26,XJ04025-002,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.5,QSM_B15,False,8:2FTS,0.0,,
27,XJ04025-002,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.5,QSM_B15,False,NETFOSAA,0.0,,
28,XJ04025-002,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,3.5,QSM_B15,False,NMEFOSAA,0.0,,
29,XJ04025-002,Joint Base Elmendorf-Richardson,DoD,,,2022-09-28,,,,,,ng/L,drinking water,Alaska,,,,1.8,QSM_B15,False,PFBS,0.0,,
