,sample_id,sampling_location,data_source,latitude,longitude,sampling_date,pws_id,water_system_name,population,well_type,well_depth,units,source_type,state,city,county,MRL,DL,analytical_methods,is_detected,analyte,concentration,pfas_total,note
0,,Brookhaven/Aquadome Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,,PFOA,,,
1,,Brookhaven/Aquadome Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOS,3770.0,,
2,,Brookhaven/Aquadome Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,,PFOA+PFOS,,,
3,,Deer Springs Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,,PFOA,,236000.0,
4,,Deer Springs Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,,PFOS,,236000.0,
5,,Deer Springs Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,,PFOA+PFOS,,236000.0,
6,,Maxwell-Gunter Air Force Base,PPL,,,2017,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOA,84000.0,540637.0,
7,,Maxwell-Gunter Air Force Base,PPL,,,2017,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOS,38000.0,540637.0,
8,,Maxwell-Gunter Air Force Base,PPL,,,2017,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOA+PFOS,122000.0,540637.0,
9,,Montgomery Air National Guard Base,PPL,,,2018,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOA,1200.0,9564.0,
10,,Montgomery Air National Guard Base,PPL,,,2018,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOS,260.0,9564.0,
11,,Montgomery Air National Guard Base,PPL,,,2018,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOA+PFOS,1460.0,9564.0,
12,,Mud Tavern Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOA,67200.0,69675.0,
13,,Mud Tavern Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOS,25000.0,69675.0,
14,,Mud Tavern Landfill,PPL,,,2019,,,,,,ng/L,Groundwater,Alabama,,,,,,,PFOA+PFOS,,69675.0,
15,,Sumpter Smith Joint National Guard Base,PPL,,,2018,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOA,230.0,86060.0,
16,,Sumpter Smith Joint National Guard Base,PPL,,,2018,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOS,45000.0,86060.0,
17,,Sumpter Smith Joint National Guard Base,PPL,,,2018,,,,,,ng/L,Groundwater,Alabama,,,,,,True,PFOA+PFOS,45230.0,86060.0,
18,,77 Same Old Road,PPL,,,2019,,,,,,ng/L,Drinking Water,Alaska,,,,,,True,PFOA,53.0,,
19,,77 Same Old Road,PPL,,,2019,,,,,,ng/L,Drinking Water,Alaska,,,,,,True,PFOS,11500.0,,
20,,77 Same Old Road,PPL,,,2019,,,,,,ng/L,Drinking Water,Alaska,,,,,,,PFOA+PFOS,,,
